id,question_text,option_a,option_b,option_c,option_d,answer,difficulty,difficulty_numeric,answer_numeric,tag_encoded,option_a_numeric,option_b_numeric,option_c_numeric,option_d_numeric,correct_option_value,question_length,question_word_count,options_mean,options_std,options_range,answer_position,difficulty_rarity,difficulty_bin
2,3.5 can be expressed in terms of percentage as:,0.35%,3.50%,35%,350%,d,Very easy,0,3,1,0.35,3.5,35.0,350.0,350.0,-1.0094312743805276,-1.1057554486168473,-0.5836733736785543,-0.3946330510532045,-0.4054844950691539,3,0.05,very_easy
36,A number is divided into two parts in such a way that 75% of the 1st part is 12 less than 30% of the 2nd part and 50% of the 2nd part is 56 more than 80% of the 1st part. What is the number?,300,320,340,350,b,Easy,1,1,1,300.0,320.0,340.0,350.0,320.0,0.13110144452448333,0.43865565323403555,-0.49612340746973826,-0.5160752136012017,-0.5191278721743863,1,0.05,easy
26,"In a school 30% of the students play football and 50% of students play cricket. If 40% of the students play neither football nor cricket, what percentage of total students play both the games?",10,12,14,20,d,Easy,1,3,1,10.0,12.0,14.0,20.0,20.0,0.14705295108259536,-0.03324773899817867,-0.6153088361467783,-0.5308166665123135,-0.5342980209620029,3,0.05,easy
33,"In a big garden 40% of the trees are mango trees. The number of mango trees is 80% of the number of guava trees. The rest of the trees are Jambolan trees. If the number of Jambolan trees is 40, what is the total number of trees in the garden?",360,400,480,500,b,Easy,1,1,1,360.0,400.0,480.0,500.0,400.0,0.5458406150353964,0.6531571951577693,-0.45525440082609614,-0.4798206002337351,-0.48499503740224903,1,0.05,easy
56,"In an exam, the marks scored by A are 40% more than the marks scored by B who has scored 25% less than the marks scored by C. If C scores 250 and the full marks of the exam is 500, what is the percentage of marks obtained by A?",47.5,50,52.5,57.5,c,Moderate,2,2,1,47.5,50.0,52.5,57.5,52.5,0.42620431584955604,0.6531571951577693,-0.6009096396200068,-0.5308587207299611,-0.5342980209620029,2,0.05,moderate
67,"Four friends, Aman, Bhavesh, Seema and Karan, decided to pool their money together to donate to a charity. They had a total of Rs. 900. Aman had three times the amount that Seema had, while Bhavesh had Rs. 60 more than Karan. Aman and Bhavesh together had double the amount that Seema and Karan together had. Find the amount (in Rs.) with Aman.",360,240,320,450,a,Difficult,3,0,1,360.0,240.0,320.0,450.0,360.0,1.3593674494991104,1.210861204159477,-0.4904207553799277,-0.4622821181543479,-0.4584472770239201,0,0.05,difficult
80,"A teacher distributes some chocolates equally among all the students of a class. Each student gets 4 chocolates more than the total number of students in the class. If each student gets 2 chocolates less than the total number of students in the class, the teacher has to distribute 25% fewer chocolates. By what percent the total number of chocolates should be increased, such that on even distribution each student gets 8 chocolates more than the number of students in the class?",12.50%,16.67%,8.33%,15%,b,Difficult,3,1,1,12.5,16.67,8.33,15.0,16.67,2.444069895450729,2.025967063469665,-0.6156414908520172,-0.531389294555264,-0.534927582136689,1,0.05,difficult
48,"In 2020, 37.50% of the total employees of a company pay income tax. If 450 employees of the company did not pay tax, what is the total number of employees in the company?",600,660,720,780,c,Moderate,2,2,1,600.0,660.0,720.0,780.0,720.0,-0.02841362105663707,-0.07614804738292541,-0.3583093152993171,-0.47042492227481936,-0.4698248886146325,2,0.05,moderate
6,88% of 370 + 24% of 210 - ? = 118?,256,258,268,358,b,Very easy,0,1,1,256.0,258.0,268.0,358.0,258.0,-1.1131160670082558,-1.019954831847354,-0.5122809217242014,-0.49396650293040295,-0.4994066787504848,1,0.05,very_easy
10,218% of 1674 = ?  1800,0.5,4,6,9,d,Very easy,0,3,1,0.5,4.0,6.0,9.0,9.0,-1.208825106356928,-1.2344563737710876,-0.6187779495014131,-0.5314381767758665,-0.5348669015415385,3,0.05,very_easy
31,"In 2020, 37.50% of the total employees of a company paid income tax. If 450 employees of the company did not pay tax, what is the total number of employees in the company?",600,660,720,780,c,Easy,1,2,1,600.0,660.0,720.0,780.0,720.0,-0.02043786777758105,-0.07614804738292541,-0.3583093152993171,-0.47042492227481936,-0.4698248886146325,2,0.05,easy
30,"If x% of �a� is the same as y% of �b�, a variable �z� can be written as:",yaz/bx,ay/bxz,zyb/xa,yb/axz,c,Easy,1,2,1,1801.0,1859.0,4063.0,6904.0,4063.0,-0.810037442404127,-0.7196526731541266,0.7695802238637087,1.4533534582539307,1.397241173421274,2,0.05,easy
72,"The number of workers in a factory is 800 more than that of supervisors. The total number of supervisors selected for a training session is 24 less than the number of workers selected. The number of supervisors and the number of workers selected for the training session are 8% and 6%, respectively. How many supervisors are selected for the training?",72,108,96,84,c,Difficult,3,2,1,72.0,108.0,96.0,84.0,96.0,1.4151977224525025,1.0821602790052367,-0.5864153988917383,-0.5215922974989974,-0.5244374242500521,2,0.05,difficult
73,"A father splits his money among his four children, A, B, C and D, in a certain way. A gets 25% of the total amount, B gets 60% of what A gets and D gets Rs. 5400 more than what C gets. If the average amount of money each child has is 10% of the father's salary, and the father's salary is Rs. 60,000, what is the amount (in Rs.) that D received?",8400,9600,9900,10500,c,Difficult,3,2,1,8400.0,9600.0,9900.0,10500.0,9900.0,1.3673432027781665,1.6398642880069445,3.0290660260481372,0.19486315616288655,0.2583422531909617,2,0.05,difficult
51,The combined income of a village increased by 50% and the per capita income increased by 20% during a certain period. By what percentage did the population of the village increase during the same period?,10,15,20,25,d,Moderate,2,3,1,10.0,15.0,20.0,25.0,25.0,0.23478623715221159,0.00965256938656808,-0.6139782173258225,-0.5290542063858568,-0.5324017523635508,3,0.05,moderate
70,"The population of a town is 384,000 and the number of females is 40% more than the number of males. Out of the total male population, 40% are adults and the rest are children. Out of the total female population, 50% are adults and the rest are children. Find the total number of children in the town.","2,12,000","2,08,000","1,96,000","2,16,000",b,Difficult,3,1,1,6680.0,963.0,5198.0,9255.0,963.0,1.0084343052206455,0.9534593538509964,1.479465364843623,2.3325340564315886,2.606681285514003,1,0.05,difficult
78,"Two shopkeepers A and B sold some watches and pens. The number of pens sold by A is three times the number of watches sold by B. The number of watches sold by A is 25% of the number of pens sold by B. If the total number of products sold by B is twice the total number of products sold by A, what is the total number of watches sold as a percentage of the total number of pens sold?",21.33%,28.56%,26.92%,31.45%,c,Difficult,3,2,1,21.33,28.56,26.92,31.45,26.92,1.6624460741032392,1.9830667550849184,-0.6103418261765533,-0.5308688239533976,-0.53425251051564,2,0.05,difficult
50,"In an election between two candidates, 30% of the voters on the voters’ list did not cast their votes. The winner was supported by 40% of all voters on the list and he got 900 votes more than his rival. What was the total number of voters on the list?",9000,10000,12000,12500,a,Moderate,2,0,1,9000.0,10000.0,12000.0,12500.0,9000.0,0.6176223945469005,0.6531571951577693,3.5137914536820323,0.8297043854776283,0.7892974607575408,0,0.05,moderate
18,How many litres of pure acid are there in 8 litres of a 20% solution?,1.4,1.5,1.6,2.4,c,Very easy,0,2,1,1.4,1.5,1.6,2.4,1.6,-0.833964702241295,-0.8483535983083669,-0.6199755064402733,-0.5340065049782159,-0.5377113044392166,2,0.05,very_easy
3,Half of 1 percent written as a decimal is:,0.005,0.05,0.02,0.2,a,Very easy,0,0,1,0.005,0.05,0.02,0.2,0.005,-1.0493100407758076,-1.1057554486168473,-0.6206051742751899,-0.5343102587169067,-0.5380166036835674,0,0.05,very_easy
29,"If 25% of A is added to 50% of B, the resultant will be 90% of B. What percentage of A is B?",32.5,40,50,62.5,d,Easy,1,3,1,32.5,40.0,50.0,62.5,62.5,-0.6505223768230066,-0.5051511312303929,-0.6030481341536856,-0.5236578541895887,-0.5267129465681946,3,0.05,easy
41,"Sagar deposits 25% of his monthly salary in a bank account. From the rest of the salary, he spends 40% on rent and a combined amount of Rs. 15,000 on groceries. If now he has Rs. 12,000, what amount does he deposit in the bank account?","Rs. 10,000","Rs. 15,000","Rs. 20,000","Rs. 25,000",b,Moderate,2,1,1,8600.0,5262.0,3947.0,9044.0,5262.0,0.4900103420820042,0.4815559616187823,1.931590631364101,1.5299175706468684,1.3949656511031314,1,0.05,moderate
54,"When 80 is added to 80% of a number, the resultant is the number itself. Find 50% of that number.",200,210,220,240,a,Moderate,2,0,1,200.0,210.0,220.0,240.0,200.0,-0.6106436104277265,-0.6338520563846332,-0.5379428561283488,-0.5202824590047187,-0.5229204093712905,0,0.05,moderate
57,"A worker’s hourly wages increased by 20% and his weekly working hours reduced by 10%. If the worker was getting Rs. 1200 per week previously, what would be his weekly wages now?","Rs. 1,296","Rs. 1,331","Rs. 1,444","Rs. 1,600",a,Moderate,2,0,1,9966.0,7326.0,8395.0,536.0,9966.0,0.02741665189675507,-0.11904835576767216,1.8717127844210903,2.898137670045946,3.0382720185216936,0,0.05,moderate
65,"The maximum marks for exams W, X, Y and Z are 120%, 150%, 80% and 100%, respectively, of the maximum marks for exam V. The score obtained in V, W, X, Y and Z are in the ratio 7 : 5 : 11 : 4 : 6. The total percentage score of Z and V together is 65%. What is the overall percentage score of all the exams?",55%,60%,75%,72%,b,Difficult,3,1,1,55.0,60.0,75.0,72.0,60.0,1.0403373183368696,1.4253627460832108,-0.5957297306384288,-0.5265073702385347,-0.5305054837650987,1,0.05,difficult
17,What percent of day is 3 hours?,,,,,a,Very easy,0,0,1,0.0,0.0,0.0,0.0,0.0,-1.1370433268454239,-1.1915560653863408,-0.6206313114306015,-0.5343841413050419,-0.5380905581589069,0,0.05,very_easy
9,40% of 1640 + ? = 35% of 980 + 150% of 850,372,842,962,1052,c,Very easy,0,2,1,372.0,842.0,962.0,1052.0,962.0,-1.0493100407758076,-0.9341542150778603,-0.313828628998795,-0.2846154064540228,-0.2801980287694257,2,0.05,very_easy
23,A student multiplied a number by 4/5 instead of 5/4. What is the percentage error in the calculation?,30,36,42,48,b,Easy,1,1,1,30.0,36.0,42.0,48.0,36.0,-0.5787405973115024,-0.7196526731541266,-0.6058044159970941,-0.5279882194020197,-0.5312639912044795,1,0.05,easy
46,"The sum of the numbers of boys and girls in a school is 400. If the number of boys is ‘X’, the number of girls becomes ‘X’% of the total number of students. What is the total number of boys?",50,60,75,80,d,Moderate,2,3,1,50.0,60.0,75.0,80.0,80.0,0.13110144452448333,0.2241541113103018,-0.5954445980339383,-0.5230150015660594,-0.5267129465681946,3,0.05,moderate
76,"Raman and Kajal have a certain number of chocolates with them. Kajal says to Raman “If I give you 20% of my chocolates, I will have 12 fewer chocolates than you”. Raman says to Kajal, “If I give you chocolates equal to 37.5% of your chocolates, you will have 5 times as many chocolates as me”. What is the total number of chocolates with them?",396,356,420,442,a,Difficult,3,0,1,396.0,356.0,420.0,442.0,396.0,1.3513916962200543,1.2966618209289704,-0.4672299702146982,-0.5039820131177898,-0.5054747382655314,0,0.05,difficult
16,What percent of Rs. 2650 is Rs. 1987.50?,60%,75%,80%,90%,b,Very easy,0,1,1,60.0,75.0,80.0,90.0,75.0,-1.0652615473339195,-1.148655757001594,-0.5916428299740646,-0.524062766715855,-0.5267129465681946,1,0.05,very_easy
62,"In an election between three candidates A, B and C, 20% of the eligible voters did not cast their votes and 200 of the cast votes were declared invalid. A got 50% of the valid votes and won by 2520 votes. C was the last among them and got 20% of the valid votes. How many eligible voters were there on the list?","16,000","21,000","24,000","14,400",a,Difficult,3,0,1,3281.0,7392.0,7022.0,7409.0,3281.0,1.0961675912902618,1.210861204159477,1.765358322946124,1.1208630650924365,1.0274687967231206,0,0.05,difficult
40,"If x% of y% of 125 is the same as 5% of 900, what is the product of x and y?",3000,3200,3400,3600,d,Easy,1,3,1,3000.0,3200.0,3400.0,3600.0,3600.0,-0.7781344292879029,-0.5909517479998864,0.633952148327715,-0.32118674453763346,-0.3105383263446588,3,0.05,easy
14,What percent of 7.2 kg is 18 gms?,0.03%,0.25%,2.50%,25%,b,Very easy,0,1,1,0.03,0.25,2.5,25.0,0.25,-1.1210918202873117,-1.148655757001594,-0.6179909835130192,-0.5244027079877814,-0.5286205927782374,1,0.05,very_easy
59,"A has twice as much money as B and B has 50% more money than C. If the average money with them is Rs. 12,100, how much money does A have?","Rs. 12,500","Rs. 14,400","Rs. 16,800","Rs. 19,800",d,Moderate,2,3,1,9691.0,281.0,8044.0,93.0,93.0,-0.2916134792654857,-0.1619486641524189,1.1005241334757132,3.641375656519241,3.1019866434296834,3,0.05,moderate
71,"In a school, there are a total of 1200 students, including all age groups. 62.5% of the students below the age of 10 are enrolled in the music club, out of which 40% attend the club regularly. Among the students who are aged 10 years or more, 30% of the students enrolled for music club and 25% of them attend the club regularly. If 174 students attend the club regularly, how many students in the school are aged 10 years or more?",560,720,600,840,b,Difficult,3,1,1,560.0,720.0,600.0,840.0,720.0,2.0532579847769843,2.025967063469665,-0.3621110833591908,-0.4299391739910734,-0.4318995166455911,1,0.05,difficult
55,"Malini donated 25% of her income to a charity and deposited 40% of the rest in a bank. If she is left with Rs. 10,800, what is her income.","Rs. 20,000","Rs. 24,000","Rs. 25,000","Rs. 27,000",b,Moderate,2,1,1,3947.0,3221.0,9044.0,5772.0,3221.0,-0.2836377259864297,-0.2477492809219124,1.4688204142759766,1.6103173497176566,1.6703038515983717,1,0.05,moderate
61,"Joy's income is 50% more than Kim's income, and his savings are 37.5% less than Kim's expenditure. Kim's savings is 80% less than Joy's expenditure. If the combined savings of Joy and Kim is Rs. 31,500, what is the income (in Rs.) of Kim?","42,000","45,000","54,000","36,000",b,Difficult,3,1,1,9996.0,8951.0,8280.0,7733.0,8951.0,0.5139376019191723,0.3957553448492888,2.7021139728990002,0.27009441958625363,0.3201606095004991,1,0.05,difficult
19,Which one of the following shows the best percentage?,,,,,b,Very easy,0,1,1,0.0,0.0,0.0,0.0,0.0,-0.9615767547061914,-1.1057554486168473,-0.6206313114306015,-0.5343841413050419,-0.5380905581589069,1,0.05,very_easy
12,"270 candidate appeared for an examination, of which 252 passed. The pass percentage is:",80%,,,,d,Very easy,0,3,1,80.0,0.0,0.0,0.0,0.0,-0.6904011432182867,-0.8912539066931136,-0.6130277753108541,-0.501355742619644,-0.5077502605836739,3,0.05,very_easy
79,"In a college election, there were two candidates: A and B. The number of people who did not vote is six times the difference between the valid votes of the two candidates. 25% of the cast votes were declared invalid. The valid votes winner got is 39% of the cast votes and he won by 84 votes. What was the total number of voters on the voting list?",3280,3350,3416,3304,d,Difficult,3,3,1,3280.0,3350.0,3416.0,3304.0,3304.0,1.3912704626153345,1.4253627460832108,0.6482087785522413,-0.4849632556399037,-0.4865120522810107,3,0.05,difficult
1,The ratio 5 : 4 expressed as a percent equals:,12.50%,40%,80%,125%,d,Very easy,0,3,1,12.5,40.0,80.0,125.0,125.0,-1.0174070276595835,-1.0628551402321005,-0.5961574295451646,-0.49391961378628174,-0.49542451469373544,3,0.05,very_easy
66,"A student scored 60% in Mathematics and 80% in Science, both subjects having equal maximum marks. He then falsely increased his obtained marks by 10% in Mathematics and by 5% in Science, and also increased the maximum marks by 40% for Mathematics and by ‘Y’% for Science. If the original overall percentage was 40% more than the adjusted overall percentage score, find the value of ‘Y’.",60%,50%,75%,62.50%,A,Difficult,3,0,1,60.0,50.0,75.0,62.5,60.0,1.6943490872194633,1.3395621293137172,-0.597107871560133,-0.5258938042480708,-0.5286092151666466,0,0.05,difficult
34,The population of a village is 1200. 58.33% of the total population are males. 50% of males and 60% of females of the village are literate. What is the total illiterate population of the village?,400,480,540,550,d,Easy,1,3,1,400.0,480.0,540.0,550.0,550.0,0.17098021091976343,0.00965256938656808,-0.4333942344818224,-0.4774261115557429,-0.48120250020534494,3,0.05,easy
45,"90 is added to 60% of ‘X’ and the resultant is divided by 12. If the quotient is 50, what is the value of ‘X’?",750,800,850,900,c,Moderate,2,2,1,750.0,800.0,850.0,900.0,850.0,-0.5069588177999983,-0.4193505144608994,-0.30698544649102233,-0.48108479211318983,-0.48120250020534494,2,0.05,moderate
69,"A group of friends went out for dinner and the total bill was Rs. 6400. Aman paid twice as much as Bhavesh, Chirag paid 25% less than Bhavesh and Dinesh paid 66.67% more than Chirag. A sum of Rs. 1600 was spent on fuel which was split equally among them. What percent of the total expenses were paid by Dinesh?",33.33%,20%,12.50%,25%,d,Difficult,3,3,1,33.33,20.0,12.5,25.0,25.0,1.0881918380112057,1.0821602790052367,-0.6119984466086433,-0.5271602931005601,-0.5301907031777556,3,0.05,difficult
24,"If ‘r’% of ‘r’ is 49, what is the value of ‘r’?",7,70,7.7,77,b,Easy,1,1,1,7.0,70.0,7.7,77.0,70.0,-1.0094312743805276,-0.9770545234626071,-0.6052626640485621,-0.5027598178656205,-0.511542797780578,1,0.05,easy
27,30 liters of water is added to a 120 liters mixture containing 40% of alcohol. What is the concentration of alcohol in the resultant mixture?,30,31,32,33.33,c,Easy,1,2,1,30.0,31.0,32.0,33.33,32.0,-0.25971046614926163,-0.4193505144608994,-0.6086243774555053,-0.5332094570218783,-0.5368276432723379,2,0.05,easy
28,75 g is what percent of 2.25 kg?,3.33,33.33,4,40,a,Easy,1,0,1,3.33,33.33,4.0,40.0,3.33,-1.1290675735663678,-1.148655757001594,-0.6129650461378662,-0.5184907872868109,-0.5241833242578595,0,0.05,easy
52,"Jatin spent 25% of his income on travelling expenses and 33.33% of the remaining on shopping. If the remaining amount left with Jatin is Rs. 14,400, find his income.","Rs. 20,000","Rs. 24,000","Rs. 25,000",None of these,d,Moderate,2,3,1,3947.0,3221.0,9044.0,1780.0,1780.0,-0.06829238745191717,-0.2477492809219124,1.0894039619005826,2.076216458651061,2.2168084616722576,3,0.05,moderate
37,"A box contains 90 blue balls, 110 red balls, 150 black balls and 50 pink balls. 50% of blue balls and 70% of red balls are taken away. What percentage of the initial number of balls are remaining in the box?",60,62.5,67.5,69.5,d,Easy,1,3,1,60.0,62.5,67.5,69.5,69.5,0.26668925026843565,0.26705441969504856,-0.5959673411421709,-0.5307633144407705,-0.534487647821848,3,0.05,easy
42,"Rs. 5300 is divided among Anuj, Manuj and Tanuj. Anuj gets 20% more amount than Manuj and Manuj gets 25% less amount than Tanuj. Find the amount (in Rs.) received by Tanuj.",2000,2400,2500,2700,a,Moderate,2,0,1,2000.0,2400.0,2500.0,2700.0,2000.0,-0.01246211449852503,-0.11904835576767216,0.2917930229390832,-0.2913017088157324,-0.2726129543756174,0,0.05,moderate
13,5 out of 2250 parts of earth is sulphur. What is the percentage of sulphur in earth:,,,,,b,Very easy,0,1,1,0.0,0.0,0.0,0.0,0.0,-0.7143284030554548,-0.7625529815388734,-0.6206313114306015,-0.5343841413050419,-0.5380905581589069,1,0.05,very_easy
25,"If 25% of (A + B) = 80% of (A – B), A is what percentage of B?",161.91,176.91,184.91,190.91,d,Easy,1,3,1,161.91,176.91,184.91,190.91,190.91,-0.8897949751946872,-0.7196526731541266,-0.5527089232728981,-0.5240188223996691,-0.527092200287885,3,0.05,easy
53,A shopkeeper has some quantity of rice and some quantity of wheat. The total quantity of 20% rice and 30% wheat is 5/8 of the total quantity of 60% rice and 40% wheat. What is the ratio of the total quantity of rice to the total quantity of wheat?,01:01,01:02,03:02,None of these,d,Moderate,2,3,1,4339.0,4924.0,9792.0,1780.0,1780.0,0.5857193814306765,0.6102568867730225,1.359614626756105,2.2289722021377463,2.5004902440006873,3,0.05,moderate
35,What is to be added to 40% of 900 so that the sum must be equal to 30% of 2600?,300,360,420,480,c,Easy,1,2,1,300.0,360.0,420.0,480.0,420.0,-0.7542071694507348,-0.6338520563846332,-0.4723623570955277,-0.47042492227481936,-0.4698248886146325,2,0.05,easy
64,"A salesman's commission rate changed from 10% of the total sales to a fixed salary of Rs. 30,000 per month plus 4% commission on sales exceeding Rs. 1 lakh. The new remuneration is Rs. 5,000 more than that from the previous scheme. What was the salesman's monthly sales amount (in Rs.) assuming equal monthly sales?","3,50,000","2,90,000","3,60,000","3,75,000",a,Difficult,3,0,1,9227.0,9494.0,2917.0,4644.0,9227.0,1.1280706044064859,0.867658737081503,1.8773203923094042,2.190179704366654,1.9562611562449437,0,0.05,difficult
4,What is 15 percent of Rs. 34?,Rs. 3.40,Rs. 3.75,Rs. 4.50,Rs. 5.10,d,Very easy,0,3,1,3.4,3.75,4.5,5.1,5.1,-1.1529948334035358,-1.1915560653863408,-0.6190393210555294,-0.5337549606044537,-0.5374458268354333,3,0.05,very_easy
5,63% of  3 4/7 is:,2.25,2.40	,2.5,2.75,a,Very easy,0,0,1,2.25,2.4,2.5,2.75,2.25,-1.2487038727522082,-1.2773566821558342,-0.6196903738357827,-0.5342106111963654,-0.5379009312990618,0,0.05,very_easy
60,"A person spent 50% of his monthly income on household expenses and 40% of the remaining on the rent. If the remaining amount left with the person is Rs. 4800, find his annual income.","Rs. 16,000","Rs. 18,500","Rs. 1,72,000","Rs. 1,92,000",d,Moderate,2,3,1,974.0,2559.0,5224.0,7451.0,7451.0,0.06729541829203517,-0.03324773899817867,0.9198451064302162,1.8315267450742692,1.9183357842759023,3,0.05,moderate
39,If 70% of a number added to 90 gives the result as the number itself. What is the number?,300,360,420,480,a,Easy,1,0,1,300.0,360.0,420.0,480.0,300.0,-0.6744496366601747,-0.6767523647693798,-0.4723623570955277,-0.47042492227481936,-0.4698248886146325,0,0.05,easy
20,5% of (25% of Rs.1600) is:,Rs. 5,Rs. 17.5,Rs. 20,Rs. 25,c,Very easy,0,2,1,5.0,17.5,20.0,25.0,20.0,-1.1769220932407038,-1.2344563737710876,-0.6142158278295646,-0.5273585268588331,-0.5305054837650987,2,0.05,very_easy
43,Riyansh has some pink and some white balls. The sum of 20% of pink balls and 40% of white balls is equal to 50% of the sum of 60% of pink balls and 60% of white balls. What is the ratio of total number of white balls to that of pink balls?,01:01,01:02,02:01,03:02,a,Moderate,2,0,1,4339.0,4924.0,7063.0,9792.0,4339.0,0.5219133551982283,0.7389578119272627,1.861733143263922,1.5052169223383294,1.5299799753129186,0,0.05,moderate
68,"A school had two exams, Maths and Science, and the number of students who passed the Maths exam was 28.57% higher than the number of students who passed the Science exam. Of those who took the Maths exam, 25% failed, and of those who took the Science exam, 30% failed. The total number of students who failed any of the two exams was 90. If each student appeared for exactly one exam, what was the total number of students?350",350,330,370,280,b,Difficult,3,1,1,350.0,330.0,370.0,280.0,330.0,2.013379218381704,1.897266138315425,-0.4942225234398014,-0.5024934877606185,-0.5039577233867697,1,0.05,difficult
